epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.91,1.43518,1.31965,0.87027,0.55602,0.40441,0.42126,0.21671,1.37343,1.1819,0.8741,0.000474777,0.000474777,0.000474777
2,1086.67,1.1755,0.74074,0.83362,0.55338,0.4649,0.51253,0.28886,1.34013,1.11517,0.86743,0.00085695,0.00085695,0.00085695
3,1625.82,1.12649,0.676,0.82905,0.64153,0.41971,0.47505,0.25069,1.47116,1.14861,0.88628,0.00114481,0.00114481,0.00114481
4,2083.8,1.07067,0.62494,0.82342,0.71263,0.47614,0.54354,0.32648,1.33501,1.16644,0.87312,0.00100459,0.00100459,0.00100459
5,2541.72,1.0055,0.57437,0.81669,0.71314,0.4922,0.55147,0.31803,1.25595,1.08766,0.84937,0.000863116,0.000863116,0.000863116
6,2965.85,0.96258,0.54249,0.81271,0.65515,0.48279,0.57507,0.34888,1.23665,1.03153,0.85056,0.000721645,0.000721645,0.000721645
7,3387.3,0.92377,0.5125,0.81002,0.73478,0.48164,0.54809,0.34598,1.23857,1.09494,0.85288,0.000580174,0.000580174,0.000580174
8,3807.93,0.88994,0.48776,0.80646,0.80184,0.47187,0.56688,0.36226,1.2709,1.16198,0.86053,0.000438703,0.000438703,0.000438703
9,4231.01,0.85835,0.46763,0.80411,0.80252,0.48265,0.57286,0.37521,1.22475,1.17221,0.85412,0.000297232,0.000297232,0.000297232
10,4661.02,0.82448,0.44181,0.8002,0.72389,0.48464,0.56308,0.35791,1.22715,1.13069,0.85447,0.000155761,0.000155761,0.000155761
