sequence,num_predictions,avg_iou,max_iou,min_iou,matched_boxes
MVI_39031,147,0.7637926930300761,0.9744967591476157,0.004812143290661872,723
MVI_39051,106,0.7024891266158642,0.9530389198504344,0.0005622294283364782,312
MVI_39211,157,0.7699934149754568,0.9827454877432202,0.0007626096014734806,427
MVI_39271,157,0.8029585046012567,0.9802216134641402,0.01580218198494936,551
MVI_39311,151,0.7211731050391741,0.9728103611016727,0.0112801611639544,978
MVI_39361,203,0.7025486289327806,0.9804368832661674,0.00021420922618763276,1468
MVI_39371,139,0.7108455442838213,0.9797745983259661,3.3844272287586294e-05,654
MVI_39401,139,0.7274418752697607,0.9882977982153132,0.0007073057130199755,1488
MVI_39501,54,0.6814979666681901,0.9862179918542353,0.0008746648499554007,288
MVI_39511,38,0.6247405639873811,0.9237558089534201,0.004905461045377546,176
MVI_40701,113,0.7208124176030644,0.980587019910758,0.0005326664949884842,1368
MVI_40711,103,0.8082806381429556,0.9809993281863575,0.00020134260414537335,655
MVI_40712,240,0.810924938524504,0.9820660117935499,0.000502698186904371,2192
MVI_40714,118,0.7013103849796986,0.984700465571837,0.0012981560268846674,2239
MVI_40742,166,0.6161368951047176,0.9659011272605227,0.010508623765425041,969
MVI_40743,163,0.7204505565607164,0.9773745169804257,0.000965999300121022,920
MVI_40761,202,0.5827976613973307,0.955631542110441,0.000213048701152576,617
MVI_40762,179,0.6936976067737123,0.9506673838987107,0.0035870678089243322,642
MVI_40763,174,0.669114686830529,0.91715002628541,0.014217716953826988,560
MVI_40771,172,0.7909968339671496,0.9802122053566261,0.0004197415656930394,909
MVI_40772,120,0.7820496110402928,0.9775823775731716,0.004293874178260332,1341
MVI_40773,99,0.7779704457360607,0.9742291672798598,0.011768127321283682,497
MVI_40774,95,0.7612834339367403,0.964373756392703,0.014587541381327406,502
MVI_40775,98,0.7737998400179862,0.983934860407923,0.0019091591189508265,719
MVI_40792,181,0.6923570330191974,0.9732239106515196,0.0065304038452254475,862
MVI_40793,196,0.6802875542662027,0.9831499471690123,0.0036942434080735153,1647
MVI_40851,114,0.6584851726078274,0.9686189332075772,0.00041907437779203634,1074
MVI_40852,115,0.6896800123241484,0.9836365038102425,0.00011854729733353945,2045
MVI_40853,159,0.669408112927137,0.9810181289178371,0.0001522250217166501,3314
MVI_40854,120,0.7341143362703016,0.9694257884161196,0.0001881162482111832,1845
MVI_40855,109,0.6609246896843759,0.9827705100472939,0.0005079108169666057,2032
MVI_40863,167,0.5069851500431551,0.9328272879421773,0.00035032209989130776,623
MVI_40864,152,0.5978800879223807,0.9846420381499791,0.0004943787693836989,2494
MVI_40891,155,0.5812568159452244,0.9862557914367696,9.65044403674924e-06,3001
MVI_40892,179,0.6625064283451588,0.9799190250749793,7.768028585549739e-06,2149
MVI_40901,134,0.5885069793683089,0.9738487365064324,0.0008599730076654841,876
MVI_40902,101,0.612932794163411,0.969738390227202,0.0009445871312348259,688
MVI_40903,106,0.639586833020902,0.9931409253822416,0.000838766350535009,1180
MVI_40904,127,0.5323453685178833,0.9667174377210764,0.00272179081038885,575
MVI_40905,171,0.6196250761016501,0.9612713686019774,0.0009847855142163294,984
