epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5053.49,1.06089,1.03339,0.89173,0.75717,0.70918,0.75669,0.54017,1.08077,0.87866,0.89047,0.00333014,0.00333014,0.00333014
2,10658.4,0.92624,0.65213,0.86494,0.73771,0.71121,0.76943,0.56696,1.07287,0.81589,0.89793,0.00600379,0.00600379,0.00600379
3,17205.1,0.89219,0.57984,0.86258,0.78841,0.70338,0.75543,0.54969,1.1112,0.91294,0.91989,0.00801744,0.00801744,0.00801744
4,25677.8,0.84167,0.52079,0.85494,0.79794,0.67115,0.74515,0.56955,1.04568,0.78704,0.90722,0.00703,0.00703,0.00703
5,31040.1,0.78302,0.46612,0.84349,0.75628,0.74845,0.78837,0.60533,1.0204,0.73437,0.8929,0.00604,0.00604,0.00604
6,36217.7,0.74856,0.4349,0.83693,0.76827,0.70227,0.77101,0.59055,1.03354,0.74643,0.89696,0.00505,0.00505,0.00505
7,41506.1,0.72102,0.40905,0.83168,0.79335,0.73424,0.78614,0.60872,1.01734,0.72741,0.89353,0.00406,0.00406,0.00406
8,46785.7,0.69681,0.38795,0.82751,0.75305,0.72804,0.78592,0.6143,1.00398,0.72909,0.89002,0.00307,0.00307,0.00307
9,52350.5,0.67452,0.36768,0.82346,0.7887,0.70284,0.78324,0.61343,1.00767,0.76088,0.89247,0.00208,0.00208,0.00208
10,57755.4,0.65149,0.34843,0.81911,0.81709,0.68326,0.77887,0.61103,1.01373,0.7666,0.89363,0.00109,0.00109,0.00109
